,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
54,"Prisoner (feat. Dua Lipa)","Miley Cyrus",1488335,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
55,Reloj,"Rauw Alejandro",1442939,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
56,"Dance Monkey","Tones And I",1434529,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
57,"Best Friend (feat. Doja Cat)",Saweetie,1421793,https://open.spotify.com/track/2etHQJxIbV0soyPhelVs9Y
58,911,Sech,1419490,https://open.spotify.com/track/2TksvaRivgAEj780DgRB73
59,"Don't Start Now","Dua Lipa",1418098,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
60,SugarCrash!,ElyOtto,1412925,https://open.spotify.com/track/3FxPbp05KjMBa4HbhAJTH0
61,Hawái,Maluma,1411158,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
62,Fiel,"Los Legendarios",1402375,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
63,"DAYWALKER! (feat. CORPSE)","Machine Gun Kelly",1396504,https://open.spotify.com/track/2NnJpRXIlx35Vij3bPZO0h
64,"WAP (feat. Megan Thee Stallion)","Cardi B",1395381,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
65,"Roses - Imanbek Remix","SAINt JHN",1375767,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
66,"My Head & My Heart","Ava Max",1327411,https://open.spotify.com/track/1KixkQVDUHggZMU9dUobgm
67,"Selfish Love (with Selena Gomez)","DJ Snake",1296170,https://open.spotify.com/track/3XoflnowYPFRPOh3uFvHcm
68,"Before You Go","Lewis Capaldi",1278639,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
69,"La Nota","Manuel Turizo",1261676,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
70,"No Te Enamores - Remix",Milly,1253828,https://open.spotify.com/track/2mM3gZ0BbPwPPMelbA8vgt
71,"Además de Mí - Remix",Rusherking,1234777,https://open.spotify.com/track/7I8L3vYCLThw2FDrE6LuzE
72,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",1226170,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
73,"Batom de Cereja - Ao Vivo","Israel & Rodolffo",1223125,https://open.spotify.com/track/2MZQAvsA7aZDssppBLRxYp
74,Heather,"Conan Gray",1222079,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
